"PVWatts: Hourly PV Performance Data"
"Requested Location:","jakarta"
"Location:","SINGAPORE, SINGAPORE"
"Lat (deg N):","1.37"
"Long (deg E):","103.98"
"Elev (m):","16"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","18","0","0","0","27.7","0.5","0","27.7","0","0"
"3","18","1","0","0","27.4","1","0","27.4","0","0"
"3","18","2","0","0","27","1","0","27","0","0"
"3","18","3","0","0","27","0.5","0","27","0","0"
"3","18","4","0","0","26.5","0","0","26.5","0","0"
"3","18","5","0","0","26","0","0","26","0","0"
"3","18","6","0","0","26","0","0","26","0","0"
"3","18","7","0","21","26.6","0","19.903","24.305","17.173","11.293"
"3","18","8","218","131","28","0.5","200.64","33.196","156.764","147.961"
"3","18","9","388","220","30","1","429.633","42.329","332.573","319.142"
"3","18","10","503","266","31.1","2.1","635.212","47.092","486.695","468.339"
"3","18","11","419","379","32","1.5","740.609","52.832","552.994","532.271"
"3","18","12","306","468","33","3.1","749.933","50.447","567.691","546.424"
"3","18","13","205","490","31.5","5.7","675.78","43.763","529.867","509.987"
"3","18","14","208","454","29","5.7","632.247","40.346","504.336","485.365"
"3","18","15","116","456","30","1.5","533.457","45.472","414.232","398.293"
"3","18","16","101","342","27.7","1.5","393.794","39.109","315.022","302.1"
"3","18","17","97","190","28","2.6","223.764","33.16","182.024","172.62"
"3","18","18","0","63","27","1","59.953","28.078","50.814","44.29"
"3","18","19","0","1","26.5","1.5","0.97","24.991","0.834","0"
"3","18","20","0","0","26","1","0","26","0","0"
"3","18","21","0","0","27","0","0","27","0","0"
"3","18","22","0","0","26.4","1","0","26.4","0","0"
"3","18","23","0","0","26","0.5","0","26","0","0"
"3","19","0","0","0","26","0","0","26","0","0"
"3","19","1","0","0","25.9","0.5","0","25.9","0","0"
"3","19","2","0","0","26","1","0","26","0","0"
"3","19","3","0","0","25.7","1","0","25.7","0","0"
"3","19","4","0","0","25.4","1","0","25.4","0","0"
"3","19","5","0","0","24.7","1.2","0","24.7","0","0"
"3","19","6","0","0","24","1.5","0","24","0","0"
"3","19","7","0","16","24.1","2.6","15.152","22.916","13.158","7.353"
"3","19","8","71","133","25","2.1","150.98","27.42","125.297","117.21"
"3","19","9","125","266","27","1.5","327.379","35.2","265.759","254.21"
"3","19","10","107","414","29.4","3.1","478.272","39.92","381.832","366.915"
"3","19","11","116","509","30","3.6","593.288","42.813","467.327","449.635"
"3","19","12","209","478","32","4.6","663.999","45.389","516.234","496.842"
"3","19","13","208","488","32.3","5.1","675.706","45.27","525.687","505.958"
"3","19","14","210","453","32","4.6","632.08","44.895","492.574","474.015"
"3","19","15","117","456","32","4.6","533.51","42.854","419.9","403.778"
"3","19","16","103","341","30.8","4.6","393.437","38.653","315.414","302.481"
"3","19","17","372","158","30","3.6","310.794","36.523","241.235","230.339"
"3","19","18","136","67","29","3.6","90.843","30.47","68.875","61.99"
"3","19","19","0","2","28","4.1","1.94","27.005","1.652","0"
"3","19","20","0","0","28","3.1","0","28","0","0"
"3","19","21","0","0","27","1.5","0","27","0","0"
"3","19","22","0","0","27.3","1.5","0","27.3","0","0"
"3","19","23","0","0","27","0.5","0","27","0","0"
"3","20","0","0","0","26.6","0.2","0","26.6","0","0"
"3","20","1","0","0","26.2","0","0","26.2","0","0"
"3","20","2","0","0","26.1","0.3","0","26.1","0","0"
"3","20","3","0","0","25.9","0.7","0","25.9","0","0"
"3","20","4","0","0","25.8","1","0","25.8","0","0"
"3","20","5","0","0","26","1","0","26","0","0"
"3","20","6","0","0","26","0","0","26","0","0"
"3","20","7","0","22","26.4","0","20.854","24.141","18.007","12.112"
"3","20","8","222","132","28","1","201.986","32.615","158.106","149.271"
"3","20","9","389","221","30","2.1","429.653","40.253","336.026","322.493"
"3","20","10","503","267","30.6","3.1","633.991","44.84","491.432","472.912"
