"PVWatts: Hourly PV Performance Data"
"Requested Location:","cairo"
"Location:","CAIRO, EGYPT"
"Lat (deg N):","30.13"
"Long (deg E):","31.4"
"Elev (m):","74"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","22","6","62","39","14.3","0.5","46.523","13.1","38.845","32.555"
"3","22","7","380","139","14.8","0.5","285.804","22.996","233.715","223.016"
"3","22","8","726","116","16.4","1.5","565.993","31.801","460.994","443.515"
"3","22","9","845","118","18","3.6","796.4","35.533","647.704","623.341"
"3","22","10","904","116","18.5","3.6","954.25","39.904","762.505","733.318"
"3","22","11","917","129","19","3.6","1042.354","42.587","822.243","790.368"
"3","22","12","914","131","20","3.1","1042.956","44.901","812.973","781.523"
"3","22","13","905","117","21","3.6","960.446","42.958","755.669","726.781"
"3","22","14","872","101","21","3.1","801.844","40.344","636.757","612.83"
"3","22","15","775","95","20.7","4.1","580.002","33.371","468.929","451.182"
"3","22","16","589","78","20.4","4.6","314.568","26.568","247.395","236.337"
"3","22","17","155","43","19.7","4.6","65.209","20.271","48.902","42.416"
"3","22","18","0","0","19.1","2.5","0","19.1","0","0"
"3","22","19","0","0","18.4","1.5","0","18.4","0","0"
"3","22","20","0","0","17.2","5.1","0","17.2","0","0"
"3","22","21","0","0","16","3.6","0","16","0","0"
"3","22","22","0","0","15.3","2.6","0","15.3","0","0"
"3","22","23","0","0","14.9","2.1","0","14.9","0","0"
"3","23","0","0","0","14.6","2.1","0","14.6","0","0"
"3","23","1","0","0","14.2","1","0","14.2","0","0"
"3","23","2","0","0","14","1","0","14","0","0"
"3","23","3","0","0","13","1","0","13","0","0"
"3","23","4","0","0","13","1","0","13","0","0"
"3","23","5","0","0","13","1.5","0","13","0","0"
"3","23","6","49","41","13","0.5","46.884","11.769","40.108","33.794"
"3","23","7","155","156","15.2","1.5","215.784","19.677","184.301","174.842"
"3","23","8","291","222","17","2.3","406.321","26.433","342.936","329.199"
"3","23","9","292","308","17.6","3.1","553.447","30.076","463.461","445.9"
"3","23","10","179","452","18.2","3.1","634.327","32.879","525.188","505.477"
"3","23","11","158","492","21.8","4.6","670.131","35.28","548.453","527.898"
"3","23","12","269","438","21.6","4.1","732.26","37.189","593.646","571.398"
"3","23","13","326","392","21.5","4.6","715.716","36.067","583.28","561.426"
"3","23","14","363","295","21.7","2.6","597.737","36.712","484.448","466.17"
"3","23","15","283","244","22","4.6","426.486","30.496","353.513","339.459"
"3","23","16","171","159","21.5","4.6","226.348","25.608","187.938","178.39"
"3","23","17","41","49","20.5","3.6","53.2","20.742","44.444","38.046"
"3","23","18","0","0","19.6","2","0","19.6","0","0"
"3","23","19","0","0","18.6","3.1","0","18.6","0","0"
"3","23","20","0","0","15.2","1.5","0","15.2","0","0"
"3","23","21","0","0","16","2.6","0","16","0","0"
"3","23","22","0","0","15.2","2.1","0","15.2","0","0"
"3","23","23","0","0","15","2.1","0","15","0","0"
"3","24","0","0","0","14","1","0","14","0","0"
"3","24","1","0","0","13.8","0.5","0","13.8","0","0"
"3","24","2","0","0","14","0.5","0","14","0","0"
"3","24","3","0","0","13","0","0","13","0","0"
"3","24","4","0","0","13.2","0","0","13.2","0","0"
"3","24","5","0","0","13","0","0","13","0","0"
"3","24","6","0","26","14","0","24.621","11.064","22.561","16.581"
"3","24","7","0","109","14.8","1.5","104.441","15.861","93.677","86.277"
"3","24","8","35","231","16","3.1","250.815","20.627","219.628","209.291"
"3","24","9","114","337","17","2.6","428.987","26.739","365.465","351.05"
"3","24","10","240","384","18.5","2.6","617.988","33.301","510.563","491.373"
"3","24","11","227","432","20","3.6","673.765","34.938","552.354","531.655"
"3","24","12","157","495","21","5.1","672.17","33.788","554.178","533.412"
"3","24","13","157","455","21.3","4.6","617.555","33.784","509.064","489.926"
"3","24","14","230","326","21","5.7","517.084","30.086","433.208","416.653"
"3","24","15","118","288","21.3","6.2","360.869","27.103","305.674","293.019"
"3","24","16","106","157","20.8","6.2","198.916","23.601","168.334","159.257"
"3","24","17","28","48","19.4","5.1","50.303","19.429","42.866","36.498"
"3","24","18","0","0","18","3.1","0","18","0","0"
"3","24","19","0","0","16.6","4.6","0","16.6","0","0"
"3","24","20","0","0","15.3","4.1","0","15.3","0","0"
