"PVWatts: Hourly PV Performance Data"
"Requested Location:","sau paolo"
"Location:","SAO PAULO/CONGONHAS, BRAZIL"
"Lat (deg S):","23.62"
"Long (deg W):","46.65"
"Elev (m):","803"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","6","18","0","0","20","3.1","0","20","0","0"
"4","6","19","0","0","19","3.1","0","19","0","0"
"4","6","20","0","0","17.6","3.1","0","17.6","0","0"
"4","6","21","0","0","18","2.6","0","18","0","0"
"4","6","22","0","0","17","2.1","0","17","0","0"
"4","6","23","0","0","16","3.1","0","16","0","0"
"4","7","0","0","0","16","2.6","0","16","0","0"
"4","7","1","0","0","16","2.1","0","16","0","0"
"4","7","2","0","0","15.2","2.1","0","15.2","0","0"
"4","7","3","0","0","15","3.1","0","15","0","0"
"4","7","4","0","0","15","2.1","0","15","0","0"
"4","7","5","0","0","17.6","3.1","0","17.6","0","0"
"4","7","6","12","11","15","3.6","10.661","13.702","9.456","3.719"
"4","7","7","36","108","16","4.1","105.131","16.819","91.848","84.487"
"4","7","8","30","314","16.7","4.1","293.211","21.842","254.622","243.372"
"4","7","9","303","266","18.3","3.4","383.402","26.289","319.861","306.799"
"4","7","10","367","203","19.8","2.8","391.949","28.763","325.164","311.948"
"4","7","11","785","172","21.4","2.1","647.941","37.757","514.805","495.464"
"4","7","12","636","218","25","3.6","596.054","38.251","473.69","455.782"
"4","7","13","697","162","26","0","558.168","48.683","417.412","401.37"
"4","7","14","697","219","26.3","1.5","550.398","42.039","420.866","404.712"
"4","7","15","423","188","27","3.6","330.465","34.255","256.849","245.54"
"4","7","16","216","121","26","1.5","157.883","30.08","121.29","113.292"
"4","7","17","54","45","25.4","0","42.729","26.365","34.913","28.698"
"4","7","18","0","0","23","0","0","23","0","0"
"4","7","19","0","0","22","0","0","22","0","0"
"4","7","20","0","0","21.4","0","0","21.4","0","0"
"4","7","21","0","0","21","0","0","21","0","0"
"4","7","22","0","0","21","0","0","21","0","0"
"4","7","23","0","0","21.4","1.5","0","21.4","0","0"
"4","8","0","0","0","21","1.5","0","21","0","0"
"4","8","1","0","0","21","1.5","0","21","0","0"
"4","8","2","0","0","20.2","0","0","20.2","0","0"
"4","8","3","0","0","20","0","0","20","0","0"
"4","8","4","0","0","20","0","0","20","0","0"
"4","8","5","0","0","19.6","0","0","19.6","0","0"
"4","8","6","38","21","20","0","19.849","17.838","17.106","11.228"
"4","8","7","239","80","22","0","113.008","24.15","84.489","77.282"
"4","8","8","115","141","22.3","1.5","168.579","25.77","139.573","131.165"
"4","8","9","355","182","24","4.1","330.615","30.137","268.249","256.633"
"4","8","10","233","229","26","1.5","338.898","35.171","273.77","262.003"
"4","8","11","310","282","27","4.1","445.267","35.92","359.581","345.345"
"4","8","12","24","287","27","2.1","278.491","34.112","228.968","218.391"
"4","8","13","168","385","28","2.1","443.517","38.818","354.257","340.181"
"4","8","14","44","269","24.9","5.1","268.546","29.638","224.914","214.441"
"4","8","15","10","130","21","2.6","126.116","23.292","108.95","101.223"
"4","8","16","80","121","20","3.1","128.618","21.817","107.91","100.205"
"4","8","17","61","24","20.6","0","24.102","19.867","19.489","13.566"
"4","8","18","0","0","20","0","0","20","0","0"
"4","8","19","0","0","20","0","0","20","0","0"
"4","8","20","0","0","20.4","0","0","20.4","0","0"
"4","8","21","0","0","20","0","0","20","0","0"
"4","8","22","0","0","20","0","0","20","0","0"
"4","8","23","0","0","20","0","0","20","0","0"
"4","9","0","0","0","20","0","0","20","0","0"
"4","9","1","0","0","19.4","0","0","19.4","0","0"
"4","9","2","0","0","18.8","0","0","18.8","0","0"
"4","9","3","0","0","18","0","0","18","0","0"
"4","9","4","0","0","19","0","0","19","0","0"
"4","9","5","0","0","18.2","0","0","18.2","0","0"
"4","9","6","94","16","19","0","14.286","16.209","11.663","5.885"
"4","9","7","199","98","19","0","121.244","21.343","95.042","87.613"
"4","9","8","268","186","20.4","0","256.506","29.554","204.577","194.619"
"4","9","9","319","160","21","0","292.471","32.648","234.158","223.446"
"4","9","10","233","346","23","0","438.916","40.006","347.099","333.237"
"4","9","11","497","331","24","0","598","47.114","455.074","437.794"
"4","9","12","262","289","25","2.6","421.243","35.453","341.371","327.68"
"4","9","13","655","231","24","2.6","586.501","37.947","464.052","446.471"
"4","9","14","477","189","22.4","3.6","406.005","31.38","327.666","314.377"
"4","9","15","228","179","24","1.5","246.469","30.855","197.624","187.839"
"4","9","16","224","167","23","1.5","196.334","27.807","154.703","145.947"
"4","9","17","3","44","21.5","1.5","40.187","21.526","35.046","28.83"
"4","9","18","0","0","21","4.1","0","21","0","0"
"4","9","19","0","0","20.7","3.9","0","20.7","0","0"
"4","9","20","0","0","20.4","3.7","0","20.4","0","0"
"4","9","21","0","0","20.1","3.5","0","20.1","0","0"
"4","9","22","0","0","19.9","3.2","0","19.9","0","0"
"4","9","23","0","0","19.6","3","0","19.6","0","0"
"4","10","0","0","0","19.3","2.8","0","19.3","0","0"
"4","10","1","0","0","19","2.6","0","19","0","0"
"4","10","2","0","0","18.4","0","0","18.4","0","0"
"4","10","3","0","0","18","0","0","18","0","0"
"4","10","4","0","0","17","0","0","17","0","0"
"4","10","5","0","0","17.4","0","0","17.4","0","0"
"4","10","6","218","11","18","0","11.172","15.244","7.924","2.214"
"4","10","7","623","48","20","0","143.649","23.364","90.388","83.057"
"4","10","8","673","52","21.3","1.5","268.963","27.768","199.371","189.542"
"4","10","9","750","89","22","1.5","427.597","33.416","333.34","319.886"
"4","10","10","825","101","24","1.5","556.519","39.492","432.392","415.863"
"4","10","11","822","184","20","3.6","669.182","34.707","538.82","518.616"
"4","10","12","727","234","27","0","655.991","53.047","481.696","463.513"
"4","10","13","724","201","28","0","596.281","52.122","437.248","420.561"
"4","10","14","505","229","28","0","452.016","47.261","337.029","323.467"
"4","10","15","289","161","28","3.1","251.204","33.614","196.469","186.712"
"4","10","16","110","141","28","2.1","149.795","31.204","119.285","111.332"
"4","10","17","159","21","25.7","0","23.025","25.799","15.981","10.124"
"4","10","18","0","0","22","1.5","0","22","0","0"
"4","10","19","0","0","22","0","0","22","0","0"
"4","10","20","0","0","20.9","0","0","20.9","0","0"
"4","10","21","0","0","21","0","0","21","0","0"
"4","10","22","0","0","20","0","0","20","0","0"
"4","10","23","0","0","19.8","0","0","19.8","0","0"
"4","11","0","0","0","20","0","0","20","0","0"
"4","11","1","0","0","19","0","0","19","0","0"
"4","11","2","0","0","18.9","0","0","18.9","0","0"
"4","11","3","0","0","19","0","0","19","0","0"
"4","11","4","0","0","18","0","0","18","0","0"
"4","11","5","0","0","17.8","0","0","17.8","0","0"
"4","11","6","6","9","19","2.1","8.644","17.461","7.697","1.992"
"4","11","7","36","139","20","0","129.204","22.692","110.35","102.592"
"4","11","8","72","189","20.6","0","195.976","27.471","163.449","154.489"
"4","11","9","537","162","23","0","390.469","37.646","301.684","289.142"
"4","11","10","725","126","26","2.1","516.348","38.986","402.597","387.028"
"4","11","11","863","88","27.5","1.5","608.182","44.609","464.139","446.554"
"4","11","12","797","154","29","2.1","627.787","45.336","478.784","460.701"
"4","11","13","452","234","30","1.5","465.891","43.662","358.692","344.483"
"4","11","14","650","132","30.4","1.5","433.149","42.628","326.763","313.501"
"4","11","15","485","94","30","0","257.977","41.693","186.721","177.203"
"4","11","16","567","65","27.6","1.5","170.961","31.81","112.504","104.7"
"4","11","17","156","31","25.3","3.1","30.67","25.018","23.034","17.045"
"4","11","18","0","0","22","3.1","0","22","0","0"
"4","11","19","0","0","22","1.5","0","22","0","0"
"4","11","20","0","0","22.4","2.1","0","22.4","0","0"
"4","11","21","0","0","22","2.1","0","22","0","0"
"4","11","22","0","0","22","1.5","0","22","0","0"
"4","11","23","0","0","21","0","0","21","0","0"
"4","12","0","0","0","21","0","0","21","0","0"
"4","12","1","0","0","21","0","0","21","0","0"
"4","12","2","0","0","21","0","0","21","0","0"
"4","12","3","0","0","21","0","0","21","0","0"
"4","12","4","0","0","20","0","0","20","0","0"
"4","12","5","0","0","20.4","0","0","20.4","0","0"
"4","12","6","52","14","20","0","12.386","17.316","11.037","5.27"
"4","12","7","262","91","21","1.5","121.681","22.664","91.498","84.144"
"4","12","8","479","151","22.8","0","287.161","33.125","217.03","206.758"
"4","12","9","141","103","24.9","1.5","157.87","28.793","129.398","121.219"
"4","12","10","499","265","27","3.1","508.615","37.812","402.378","386.816"
"4","12","11","723","255","27.6","2.1","659.91","44.469","506.38","487.337"
"4","12","12","405","390","30","1.5","589.919","47.053","449.817","432.713"
"4","12","13","549","253","30","1.5","534.854","45.369","407.491","391.767"
"4","12","14","360","168","31.2","1.5","322.673","40.678","248.536","237.448"
"4","12","15","94","100","29","0","126.227","35.098","99.793","92.263"
"4","12","16","98","78","26","6.7","91.217","26.697","72.525","65.566"
"4","12","17","4","24","23.8","1.5","22.821","22.955","19.738","13.81"
"4","12","18","0","0","23","0","0","23","0","0"
"4","12","19","0","0","23","0","0","23","0","0"
"4","12","20","0","0","23","0","0","23","0","0"
"4","12","21","0","0","23","0","0","23","0","0"
"4","12","22","0","0","23","0","0","23","0","0"
"4","12","23","0","0","22.3","1.5","0","22.3","0","0"
"4","13","0","0","0","22","0","0","22","0","0"
"4","13","1","0","0","22","1.5","0","22","0","0"
"4","13","2","0","0","21.7","0","0","21.7","0","0"
"4","13","3","0","0","22","0","0","22","0","0"
"4","13","4","0","0","21","0","0","21","0","0"
"4","13","5","0","0","20.6","0","0","20.6","0","0"
"4","13","6","25","13","21","0","12.133","18.233","10.766","5.005"
"4","13","7","109","142","22","0","140.83","25.341","115.07","107.209"
"4","13","8","13","47","21.2","1.5","48.885","21.247","42.188","35.833"
"4","13","9","17","180","21","1.5","176.177","24.41","151.438","142.758"
