"PVWatts: Hourly PV Performance Data"
"Requested Location:","stockholm"
"Location:","STOCKHOLM/ARLANDA, SWEDEN"
"Lat (deg N):","59.65"
"Long (deg E):","17.95"
"Elev (m):","61"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","not determined"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"8","6","4","0","15","16.4","2.4","14.183","14.932","12.774","6.976"
"8","6","5","51","62","16.7","2.8","62.943","16.579","53.669","47.089"
"8","6","6","128","128","17.1","3.1","162.117","19.511","136.944","128.596"
"8","6","7","100","219","17.8","3.3","265.071","22.819","227.773","217.227"
"8","6","8","80","278","18.4","3.4","333.583","25.186","285.761","273.664"
"8","6","9","38","293","19.1","3.6","329.482","25.818","282.11","270.115"
"8","6","10","63","316","19.2","3.4","381.252","27.224","324.358","311.166"
"8","6","11","65","334","19.4","3.3","406.497","28.205","344.277","330.499"
"8","6","12","64","331","19.5","3.1","401.857","28.448","339.948","326.299"
"8","6","13","62","310","19","3.4","372.678","26.996","317.386","304.396"
"8","6","14","32","285","18.6","3.8","305.685","24.747","263.041","251.565"
"8","6","15","25","228","18.1","4.1","237.829","22.471","206.634","196.624"
"8","6","16","119","178","17.7","4.1","230.929","21.774","198.111","188.314"
"8","6","17","55","132","17.3","4.1","139.357","19.353","120.19","112.217"
"8","6","18","7","60","17","4.1","55.66","17.02","49.381","42.886"
"8","6","19","0","12","16.6","4.1","11.345","15.462","10.194","4.443"
"8","6","20","0","0","16.2","4.1","0","16.2","0","0"
"8","6","21","0","0","15.8","4.1","0","15.8","0","0"
"8","6","22","0","0","15.3","3.9","0","15.3","0","0"
"8","6","23","0","0","14.9","3.8","0","14.9","0","0"
"8","7","0","0","0","14.4","3.6","0","14.4","0","0"
"8","7","1","0","0","14","3.3","0","14","0","0"
"8","7","2","0","0","13.6","2.9","0","13.6","0","0"
"8","7","3","0","0","13.2","2.6","0","13.2","0","0"
"8","7","4","0","16","13.9","3.6","15.133","12.608","13.773","7.956"
"8","7","5","44","70","14.5","4.7","68.841","14.514","59.876","53.172"
"8","7","6","167","135","15.2","5.7","180.141","17.336","152.452","143.748"
"8","7","7","351","166","16.4","6","339.846","21.453","288.14","275.977"
"8","7","8","497","178","17.6","6.4","517.695","25.68","438.345","421.621"
"8","7","9","614","171","18.8","6.7","678.684","29.52","568.765","547.458"
"8","7","10","656","181","19.5","6.2","788.175","32.837","651.914","627.381"
"8","7","11","690","173","20.1","5.6","842.903","35.439","688.862","662.82"
"8","7","12","669","181","20.8","5.1","828.612","36.832","672.478","647.111"
"8","7","13","632","180","21.2","4.6","755.561","36.734","612.845","589.857"
"8","7","14","533","195","21.7","4.1","622.758","35.167","507.372","488.294"
"8","7","15","405","195","22.1","3.6","461.063","32.372","377.596","362.809"
"8","7","16","318","157","21.6","2.7","301.584","28.689","245.71","234.697"
"8","7","17","139","122","21.1","1.9","152.459","24.528","124.363","116.297"
"8","7","18","15","59","20.6","1","54.492","20.935","47.185","40.733"
"8","7","19","0","11","19.4","1.2","10.398","17.792","9.245","3.511"
"8","7","20","0","0","18.3","1.3","0","18.3","0","0"
"8","7","21","0","0","17.1","1.5","0","17.1","0","0"
"8","7","22","0","0","16.3","1.3","0","16.3","0","0"
"8","7","23","0","0","15.6","1.2","0","15.6","0","0"
"8","8","0","0","0","14.8","1","0","14.8","0","0"
"8","8","1","0","0","14.2","0.7","0","14.2","0","0"
"8","8","2","0","0","13.5","0.3","0","13.5","0","0"
"8","8","3","0","0","12.9","0","0","12.9","0","0"
"8","8","4","0","15","13.5","1","14.186","11.441","12.978","7.176"
"8","8","5","41","68","14.1","2.1","66.621","13.995","58.183","51.513"
"8","8","6","163","133","14.7","3.1","176.708","17.441","149.47","140.836"
"8","8","7","347","165","16.4","2.8","336.269","23.47","282.374","270.371"
"8","8","8","491","179","18.1","2.4","514.009","30.445","425.405","409.104"
"8","8","9","610","171","19.8","2.1","674.522","37.221","544.331","523.927"
"8","8","10","655","180","20.4","2.3","785.135","40.484","625.138","601.669"
"8","8","11","698","168","21","2.4","843.515","42.497","665.29","640.216"
"8","8","12","695","168","21.6","2.6","836.764","42.558","659.707","634.86"
"8","8","13","673","163","21.8","2.4","770.948","41.681","609.856","586.984"
"8","8","14","587","176","22","2.3","645.664","38.921","516.063","496.677"
"8","8","15","489","167","22.2","2.1","482.597","35.132","389.005","373.864"
"8","8","16","337","152","21.6","2.1","304.059","29.461","246.227","235.2"
"8","8","17","139","120","21","2.1","150.123","24.248","122.47","114.446"
"8","8","18","13","57","20.4","2.1","53.171","20.533","46.207","39.774"
"8","8","19","0","10","18.3","1.9","9.45","16.821","8.44","2.721"
"8","8","20","0","0","16.1","1.7","0","16.1","0","0"
"8","8","21","0","0","14","1.5","0","14","0","0"
"8","8","22","0","0","13.3","1.5","0","13.3","0","0"
"8","8","23","0","0","12.5","1.5","0","12.5","0","0"
"8","9","0","0","0","11.8","1.5","0","11.8","0","0"
"8","9","1","0","0","10.8","1.2","0","10.8","0","0"
"8","9","2","0","0","9.8","0.8","0","9.8","0","0"
"8","9","3","0","0","8.8","0.5","0","8.8","0","0"
"8","9","4","0","14","10.5","0.7","13.239","8.076","12.291","6.502"
"8","9","5","31","61","12.2","0.8","59.45","11.654","52.767","46.205"
"8","9","6","63","120","13.9","1","133.231","16.183","116.239","108.353"
"8","9","7","71","192","15.8","1.5","223.447","20.863","194.04","184.343"
"8","9","8","56","255","17.6","2.1","293.845","24.363","252.829","241.627"
"8","9","9","18","301","19.5","2.6","312.766","26.491","267.016","255.433"
"8","9","10","12","291","20","2.4","298.634","26.877","254.54","243.292"
"8","9","11","5","244","20.5","2.3","243.879","26.032","208.714","198.652"
"8","9","12","1","165","21","2.1","160.084","24.317","138.113","129.738"
"8","9","13","30","273","20.8","2.8","305.224","27.092","259.854","248.464"
"8","9","14","107","278","20.5","3.4","364.311","28.085","308.199","295.472"
"8","9","15","156","240","20.3","4.1","342.357","27.056","289.471","277.271"
"8","9","16","81","170","19.5","3.9","202.17","23.256","172.842","163.658"
"8","9","17","5","99","18.7","3.8","94.78","19.777","83.249","76.068"
"8","9","18","0","32","17.9","3.6","30.29","17.26","26.997","20.934"
"8","9","19","0","5","17","3.4","4.718","15.573","4.237","0"
"8","9","20","0","0","16.1","3.3","0","16.1","0","0"
"8","9","21","0","0","15.2","3.1","0","15.2","0","0"
"8","9","22","0","0","14.9","2.2","0","14.9","0","0"
"8","9","23","0","0","14.5","1.4","0","14.5","0","0"
"8","10","0","0","0","14.2","0.5","0","14.2","0","0"
"8","10","1","0","0","14","1","0","14","0","0"
"8","10","2","0","0","13.9","1.6","0","13.9","0","0"
"8","10","3","0","0","13.7","2.1","0","13.7","0","0"
"8","10","4","0","5","14.2","2.9","4.718","12.558","4.294","0"
"8","10","5","0","33","14.7","3.8","31.231","13.827","28.27","22.182"
"8","10","6","0","100","15.2","4.6","94.827","15.79","85.081","77.862"
"8","10","7","215","182","17.3","5.1","285.556","21.693","243.733","232.771"
"8","10","8","428","201","19.4","5.7","494.724","27.603","415.43","399.451"
"8","10","9","573","187","21.5","6.2","656.774","32.374","542.823","522.473"
"8","10","10","637","177","22.8","5.8","764.046","36.264","621.312","597.993"
"8","10","11","430","280","24","5.5","714.159","37.15","578.779","557.096"
"8","10","12","64","325","25.3","5.1","395.789","32.915","327.662","314.374"
"8","10","13","166","321","25.5","4.8","484.064","34.624","397.146","381.75"
"8","10","14","265","267","25.7","4.4","487.203","35.517","396.905","381.517"
"8","10","15","321","200","25.9","4.1","406.073","34.278","329.73","316.381"
"8","10","16","273","152","25.2","3.8","274.228","30.775","221.369","210.987"
"8","10","17","127","111","24.5","3.4","137.756","26.896","110.941","103.17"
"8","10","18","4","52","23.8","3.1","48.109","23.809","41.472","35.132"
"8","10","19","0","8","22.6","3.4","7.556","21.42","6.608","0.923"
"8","10","20","0","0","21.3","3.8","0","21.3","0","0"
"8","10","21","0","0","20.1","4.1","0","20.1","0","0"
"8","10","22","0","0","20","3.6","0","20","0","0"
"8","10","23","0","0","19.8","3.1","0","19.8","0","0"
"8","11","0","0","0","19.7","2.6","0","19.7","0","0"
"8","11","1","0","0","19.1","2.4","0","19.1","0","0"
"8","11","2","0","0","18.4","2.3","0","18.4","0","0"
"8","11","3","0","0","17.8","2.1","0","17.8","0","0"
"8","11","4","0","12","18.6","2.3","11.343","17.117","10.117","4.367"
"8","11","5","47","55","19.4","2.4","55.45","19.123","46.765","40.321"
"8","11","6","114","120","20.2","2.6","149.162","22.45","124.327","116.262"
"8","11","7","138","188","20.2","3.1","254.907","25.074","215.533","205.299"
"8","11","8","111","246","20.1","3.6","319.64","26.426","271.773","260.061"
"8","11","9","51","272","20.1","4.1","317.589","26.232","271.318","259.618"
"8","11","10","99","327","20.1","4.1","425.462","28.539","359.647","345.409"
"8","11","11","152","355","20","4.1","521.665","30.702","436.484","419.822"
"8","11","12","205","352","20","4.1","565.096","31.813","470.238","452.447"
"8","11","13","146","329","19.5","3.8","475.916","29.789","399.78","384.301"
"8","11","14","89","279","19","3.4","351.956","26.696","299.776","287.287"
"8","11","15","57","199","18.5","3.1","233.141","23.352","201.243","191.368"
"8","11","16","13","171","17.8","2.8","170.486","20.973","148.986","140.362"
"8","11","17","9","102","17.1","2.4","98.524","18.389","86.883","79.626"
"8","11","18","0","39","16.4","2.1","36.652","15.815","32.881","26.706"
"8","11","19","0","5","16","2.4","4.719","14.388","4.26","0"
"8","11","20","0","0","15.5","2.8","0","15.5","0","0"
"8","11","21","0","0","15.1","3.1","0","15.1","0","0"
"8","11","22","0","0","15","3.1","0","15","0","0"
"8","11","23","0","0","14.9","3.1","0","14.9","0","0"
"8","12","0","0","0","14.8","3.1","0","14.8","0","0"
"8","12","1","0","0","14.5","3.8","0","14.5","0","0"
"8","12","2","0","0","14.1","4.4","0","14.1","0","0"
"8","12","3","0","0","13.8","5.1","0","13.8","0","0"
"8","12","4","0","4","13.7","4.9","3.773","12.39","3.437","0"
"8","12","5","0","31","13.6","4.8","29.335","12.786","26.676","20.619"
"8","12","6","0","97","13.5","4.6","92.013","14.004","83.221","76.041"
"8","12","7","87","178","14.5","5.1","216.685","17.518","190.522","180.911"
"8","12","8","215","238","15.4","5.7","383.651","21.448","332.889","319.448"
"8","12","9","361","258","16.4","6.2","558.914","25.392","478.14","460.079"
"8","12","10","418","266","17.4","5.7","664.717","29.032","560.118","539.133"
"8","12","11","474","247","18.5","5.1","716.948","32.111","595.57","573.249"
"8","12","12","471","247","19.5","4.6","711.053","33.936","585.387","563.454"
"8","12","13","358","279","19.9","3.9","610.035","33.269","503.506","484.565"
"8","12","14","273","261","20.2","3.3","485.661","31.332","403.725","388.12"
"8","12","15","154","233","20.6","2.6","333.014","28.62","279.345","267.426"
"8","12","16","109","180","19.8","3.4","223.94","24.242","189.868","180.274"
"8","12","17","51","110","18.9","4.3","116.69","20.419","99.805","92.274"
"8","12","18","0","43","18.1","5.1","40.017","17.775","35.583","29.356"
"8","12","19","0","6","17","4.3","5.819","15.749","5.222","0"
